1000,Ruttini,Trago-Vino,25000
1001,Daikiri,Trago-Vino,2500
1002,Fernet,Trago-Vino,2500
1003,Martini,Trago-Vino,2500
1004,Gin-Tonic,Trago-Vino,2500
1005,Negroni,Trago-Vino,2500
1006,Mojito,Trago-Vino,2500
1007,Margarita,Trago-Vino,2500
1008,Agua,Trago-Vino,500
1009,"Coca cola",Trago-Vino,1500
1010,Sprite,Trago-Vino,1500
1011,Honey,Cerveza,1500
1012,Ipa,Cerveza,1500
1013,Blonde,Cerveza,1500
1014,Belgia,Cerveza,1500
1015,Empanadas,Comida,1500
1016,Pizza,Comida,1500
1017,Asado,Comida,1500
1018,"Bife de chorizo",Comida,3500
1019,Lasagna,Comida,3500
1020,"Milanesa a caballo",Comida,3500
1021,Cangrebuguer,Comida,3500
1022,Hamburguesa,Comida,3500
1023,"Big Mac",Comida,3500
1024,"Lemon Pie",Postre,3500
1025,Helado,Postre,3500
1026,Chocotorta,Postre,3500
1027,"Tarta de manzana",Postre,3500
1028,Tiramisu,Postre,3500
1029,"Hamburguesa Garbanzo",Comida,3500
